Status,Part Name,Serial Number,Project Name,Details,Opened By,Approval Requested From,Approved,Approved By,Approval Date,Received Date,Received State,Ordered By,Date Ordered,Company,Inventory Synced,Maintenance Component,Maintenance Task,Maintenance Task ID,Wait ID
Opened,UV lamp cleaning kit,,Maintenance,"Auto maintenance planning: UV Curing System — Every 500 operating hours: clean lamp module, reflector, bulb and RF screen (Task ID: UV-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,UV Curing System,"Every 500 operating hours: clean lamp module, reflector, bulb and RF screen",UV-MNT-003,
Opened,Optics wipes,,Maintenance,"Auto maintenance planning: UV Curing System — Every 500 operating hours: clean lamp module, reflector, bulb and RF screen (Task ID: UV-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,UV Curing System,"Every 500 operating hours: clean lamp module, reflector, bulb and RF screen",UV-MNT-003,
Opened,IPA wipes / cleaning cloth,,Maintenance,"Auto maintenance planning: UV Curing System — Every 500 operating hours: clean lamp module, reflector, bulb and RF screen (Task ID: UV-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,UV Curing System,"Every 500 operating hours: clean lamp module, reflector, bulb and RF screen",UV-MNT-003,
Opened,Air filter element,,Maintenance,Auto maintenance planning: UV Curing System – PSU — Every 3 months: remove dust from PSU units and replace air filters if required (Task ID: UV-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,UV Curing System – PSU,Every 3 months: remove dust from PSU units and replace air filters if required,UV-MNT-004,
Opened,UV lamp cleaning kit,,Maintenance,Auto maintenance planning: UV Curing System — Module surface + optics cleaning (Task ID: UV-MNT-003). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,UV Curing System,Module surface + optics cleaning,UV-MNT-003,
Opened,Optics wipes,,Maintenance,Auto maintenance planning: UV Curing System — Module surface + optics cleaning (Task ID: UV-MNT-003). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,UV Curing System,Module surface + optics cleaning,UV-MNT-003,
Opened,Applicator seal kit,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Applicator/delivery block levelness check (Task ID: WOD-MNT-005). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Applicator/delivery block levelness check,WOD-MNT-005,
Opened,IPA wipes / cleaning cloth,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Weekly: joints leakage check + line purge + cleaning (Task ID: WOD-MNT-006). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Weekly: joints leakage check + line purge + cleaning,WOD-MNT-006,
Opened,Purge gas / line flush consumables,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Weekly: joints leakage check + line purge + cleaning (Task ID: WOD-MNT-006). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Weekly: joints leakage check + line purge + cleaning,WOD-MNT-006,
Opened,IPA wipes / cleaning cloth,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Weekly: joints leakage check + line purge + cleaning (Task ID: WOD-MNT-006). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Weekly: joints leakage check + line purge + cleaning,WOD-MNT-006,
Opened,Purge gas / line flush consumables,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Weekly: joints leakage check + line purge + cleaning (Task ID: WOD-MNT-006). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Weekly: joints leakage check + line purge + cleaning,WOD-MNT-006,
Opened,Applicator seal kit,,Maintenance,Auto maintenance planning: Wet-on-Dry Coating System — Applicator alignment to tower axis check (Task ID: WOD-MNT-008). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Wet-on-Dry Coating System,Applicator alignment to tower axis check,WOD-MNT-008,
